#tail	head	KSP index	path cost
P04150	Q9UNE7	205	4.21875e-01
Q9UNE7	Q07666	205	4.21875e-01
P04150	Q9Y618	206	4.21875e-01
Q9Y618	P01100	206	4.21875e-01
Q9Y618	P05412	207	4.21875e-01
Q9Y618	P17676	208	4.21875e-01
Q9Y618	P25963	209	4.21875e-01
Q9Y618	Q04206	210	4.21875e-01
P04150	Q9Y6Q9	211	4.21875e-01
Q9Y6Q9	O14920	211	4.21875e-01
Q9Y6Q9	P01100	212	4.21875e-01
Q9Y6Q9	Q04206	213	4.21875e-01
Q9Y6Q9	Q92793	214	4.21875e-01
P27824	P00533	215	4.21875e-01
P27824	P10909	220	4.21875e-01
P10909	P01100	220	4.21875e-01
P27824	P05556	221	4.21875e-01
P05556	P15336	221	4.21875e-01
P27824	P11166	222	4.21875e-01
P11166	P15336	222	4.21875e-01
P27824	P16615	223	4.21875e-01
P16615	P15336	223	4.21875e-01
P27824	P21860	224	4.21875e-01
P21860	P00519	224	4.21875e-01
P27824	P19438	225	4.21875e-01
P19438	P25963	225	4.21875e-01
P19438	Q04206	226	4.21875e-01
P19438	Q07666	227	4.21875e-01
P21860	P18146	228	4.21875e-01
P27824	P30101	229	4.21875e-01
P30101	P15336	229	4.21875e-01
P27824	P55072	230	4.21875e-01
P55072	P25963	230	4.21875e-01
P27824	Q92597	231	4.21875e-01
Q92597	P35222	231	4.21875e-01
P27824	P54252	232	4.21875e-01
P54252	Q92793	232	4.21875e-01
P27824	Q99496	233	4.21875e-01
Q99496	Q04206	233	4.21875e-01
Q99496	Q07666	234	4.21875e-01
P27824	Q9Y6K9	235	4.21875e-01
Q9Y6K9	O14920	235	4.21875e-01
Q9Y6K9	P25963	236	4.21875e-01
Q9Y6K9	Q04206	237	4.21875e-01
Q9Y6K9	Q07666	238	4.21875e-01
Q9Y6K9	Q92793	239	4.21875e-01
P04234	Q9UKV5	240	4.21875e-01
Q9UKV5	P0CG48	240	4.21875e-01
P0CG48	P00519	240	4.21875e-01
Q9UKV5	P0CG47	241	4.21875e-01
P0CG47	P25963	241	4.21875e-01
P0CG47	P35222	242	4.21875e-01
P0CG48	P05412	243	4.21875e-01
P0CG48	P25963	244	4.21875e-01
P0CG48	P35222	245	4.21875e-01
P0CG48	Q04206	246	4.21875e-01
P0CG48	Q86Y01	247	4.21875e-01
Q9UKV5	P42858	248	4.21875e-01
P42858	P16220	248	4.21875e-01
P42858	P35222	249	4.21875e-01
P42858	Q92793	250	4.21875e-01
Q9UKV5	P55072	251	4.21875e-01
Q9UKV5	P61077	252	4.21875e-01
P61077	P25963	252	4.21875e-01
Q9UKV5	P62837	253	4.21875e-01
P62837	P25963	253	4.21875e-01
Q9UKV5	P62979	254	4.21875e-01
P62979	P25963	254	4.21875e-01
P62979	P35222	255	4.21875e-01
Q9UKV5	P62987	256	4.21875e-01
P62987	P25963	256	4.21875e-01
Q9UKV5	P54252	257	4.21875e-01
P62987	P35222	258	4.21875e-01
Q9UKV5	Q14676	259	4.21875e-01
Q14676	Q92793	259	4.21875e-01
Q9UKV5	Q9UNN5	260	4.21875e-01
Q9UNN5	O14920	260	4.21875e-01
Q9UNN5	Q04206	261	4.21875e-01
P07766	O43639	262	4.21875e-01
O43639	O15117	262	4.21875e-01
O15117	P00519	262	4.21875e-01
P07766	O15446	263	4.21875e-01
O15446	O60934	263	4.21875e-01
O60934	P15336	263	4.21875e-01
O15446	P49407	264	4.21875e-01
P49407	P05412	264	4.21875e-01
P49407	P25963	265	4.21875e-01
O15446	Q15653	266	4.21875e-01
Q15653	P25963	266	4.21875e-01
Q15653	Q04206	267	4.21875e-01
O43639	P00533	268	4.21875e-01
O43639	P04626	273	4.21875e-01
O43639	P0CG48	276	4.21875e-01
O43639	P10721	282	4.21875e-01
O43639	P21860	286	4.21875e-01
O43639	P26641	288	4.21875e-01
P26641	P00519	288	4.21875e-01
O43639	O15169	289	4.21875e-01
O15169	P35222	289	4.21875e-01
O43639	O96013	290	4.21875e-01
O96013	P35222	290	4.21875e-01
O43639	P08581	291	4.21875e-01
O43639	P15884	293	4.21875e-01
P15884	P35222	293	4.21875e-01
O43639	P09619	294	4.21875e-01
O43639	P61978	295	4.21875e-01
P61978	P17676	295	4.21875e-01
P61978	Q07666	296	4.21875e-01
O43639	Q04864	297	4.21875e-01
Q04864	P25963	297	4.21875e-01
Q04864	Q04206	298	4.21875e-01
Q04864	Q92793	299	4.21875e-01
O43639	Q13153	300	4.21875e-01
Q13153	P35222	300	4.21875e-01
O43639	Q13177	301	4.21875e-01
Q13177	P00519	301	4.21875e-01
Q13177	P05412	302	4.21875e-01
O43639	Q13285	303	4.21875e-01
Q13285	P05412	303	4.21875e-01
Q13285	P35222	304	4.21875e-01
O43639	Q13418	305	4.21875e-01
Q13418	P35222	305	4.21875e-01
O43639	Q15303	306	4.21875e-01
Q15303	P00519	306	4.21875e-01
Q15303	P42229	307	4.21875e-01
Q15303	P51692	308	4.21875e-01
O43639	Q15427	309	4.21875e-01
Q15427	P00519	309	4.21875e-01
O43639	Q15654	310	4.21875e-01
O43639	Q16620	311	4.21875e-01
Q16620	P35222	311	4.21875e-01
O43639	Q99704	312	4.21875e-01
Q99704	P00519	312	4.21875e-01
O43639	Q9BRK4	313	4.21875e-01
Q9BRK4	P35222	313	4.21875e-01
O43639	Q13480	314	4.21875e-01
Q13480	Q9H6Q3	314	4.21875e-01
O43639	Q9NQC3	315	4.21875e-01
Q9NQC3	P00519	315	4.21875e-01
