#id	mapped_name	kegg_name
77	Q13740	hsa:214
251	P05362|P13598|P32942	hsa:3383|hsa:3384|hsa:3385
252	P05107	hsa:3689
253	P20701	hsa:3683
254	P01889|P04439|P10321|P13747|P17693|P30511	hsa:3105|hsa:3106|hsa:3107|hsa:3133|hsa:3134|hsa:3135
255	P42081	hsa:942
256	P33681	hsa:941
257	P10747	hsa:940
258	P19256	hsa:965
259	P06729	hsa:914
260	P05362|P13598|P32942	hsa:3383|hsa:3384|hsa:3385
261	P05107	hsa:3689
262	P20701	hsa:3683
263	P16284	hsa:5175
264	Q14242	hsa:6404
265	P11215	hsa:3684
266	P14209|Q8TCZ2	hsa:4267|hsa:83692
267	P25942	hsa:958
268	P05107	hsa:3689
269	P57087	hsa:58494
270	Q96AP7	hsa:90952
271	Q9Y624	hsa:50848
272	Q16625	hsa:100506658
273	Q16625	hsa:100506658
274	A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q8N6F1|Q8N7P3|Q96B33|Q9Y5I7	hsa:100132463|hsa:10686|hsa:1364|hsa:1365|hsa:1366|hsa:137075|hsa:149461|hsa:23562|hsa:24146|hsa:26285|hsa:49861|hsa:5010|hsa:51208|hsa:53842|hsa:644672|hsa:7122|hsa:9071|hsa:9073|hsa:9074|hsa:9075|hsa:9076|hsa:9080
275	A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q8N6F1|Q8N7P3|Q96B33|Q9Y5I7	hsa:100132463|hsa:10686|hsa:1364|hsa:1365|hsa:1366|hsa:137075|hsa:149461|hsa:23562|hsa:24146|hsa:26285|hsa:49861|hsa:5010|hsa:51208|hsa:53842|hsa:644672|hsa:7122|hsa:9071|hsa:9073|hsa:9074|hsa:9075|hsa:9076|hsa:9080
279	Q16625	hsa:100506658
280	Q9Y624	hsa:50848
281	A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q8N6F1|Q8N7P3|Q96B33|Q9Y5I7	hsa:100132463|hsa:10686|hsa:1364|hsa:1365|hsa:1366|hsa:137075|hsa:149461|hsa:23562|hsa:24146|hsa:26285|hsa:49861|hsa:5010|hsa:51208|hsa:53842|hsa:644672|hsa:7122|hsa:9071|hsa:9073|hsa:9074|hsa:9075|hsa:9076|hsa:9080
282	P05362|P13598|P32942	hsa:3383|hsa:3384|hsa:3385
283	P01730	hsa:920
284	Q9Y6W8	hsa:29851
285	Q5ZPR3	hsa:80381
286	P29965	hsa:959
287	Q9BQ51	hsa:80380
288	Q9NZQ7	hsa:29126
289	P16284	hsa:5175
290	P08575	hsa:5788
291	O75144	hsa:102723996|hsa:23308
292	Q15116	hsa:5133
293	P33151	hsa:1003
294	P01889|P04439|P10321|P13747|P17693|P30511	hsa:3105|hsa:3106|hsa:3107|hsa:3133|hsa:3134|hsa:3135
295	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
297	Q15762	hsa:10666
298	Q9Y624	hsa:50848
299	P33681	hsa:941
300	Q9BX67	hsa:83700
301	P20701	hsa:3683
302	P01732|P10966	hsa:925|hsa:926|hsa:927
303	P20273	hsa:933
304	A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q8N6F1|Q8N7P3|Q96B33|Q9Y5I7	hsa:100132463|hsa:10686|hsa:1364|hsa:1365|hsa:1366|hsa:137075|hsa:149461|hsa:23562|hsa:24146|hsa:26285|hsa:49861|hsa:5010|hsa:51208|hsa:53842|hsa:644672|hsa:7122|hsa:9071|hsa:9073|hsa:9074|hsa:9075|hsa:9076|hsa:9080
305	P16410	hsa:1493
306	P10747	hsa:940
307	P42081	hsa:942
308	Q16625	hsa:100506658
309	P19256	hsa:965
310	P06729	hsa:914
439	Q9NZQ7	hsa:29126
442	Q7Z7D3	hsa:79679
443	Q15762	hsa:10666
444	Q92692	hsa:5819
445	P15151	hsa:5817
446	Q495A1	hsa:201633
451	Q9NZQ7	hsa:29126
453	Q9NZQ7	hsa:29126
456	Q15762	hsa:10666
457	Q92692	hsa:5819
458	P15151	hsa:5817
459	Q495A1	hsa:201633
462	Q9NQS3	hsa:25945
471	O75056|P18827|P31431|P34741	hsa:6382|hsa:6383|hsa:6385|hsa:9672
472	Q9Y2I2	hsa:22854
473	Q96CW9	hsa:84628
474	Q9HCJ2	hsa:57689
475	Q9HBW1	hsa:64101
476	Q9NT99	hsa:94030
481	Q9H7M9	hsa:64115
482	Q5DX21	hsa:152404
