#id	mapped_name	kegg_name
348	Q53GQ0	hsa:51144
350	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
352	Q9NZ01	hsa:9524
354	Q9BW60|Q9GZR5	hsa:64834|hsa:6785
356	Q53GQ0	hsa:51144
358	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
360	Q9NZ01	hsa:9524
362	O95864	hsa:9415
364	Q9NYP7	hsa:60481
366	Q53GQ0	hsa:51144
368	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
370	Q9NZ01	hsa:9524
372	O95864	hsa:9415
373	O60427	hsa:3992
383	Q9GZR5	hsa:6785
385	Q53GQ0	hsa:51144
387	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
389	Q9NZ01	hsa:9524
391	Q9GZR5	hsa:6785
393	Q53GQ0	hsa:51144
395	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
397	Q9NZ01	hsa:9524
399	Q9GZR5	hsa:6785
401	Q53GQ0	hsa:51144
403	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
405	Q9NZ01	hsa:9524
407	Q9GZR5	hsa:6785
409	Q53GQ0	hsa:51144
411	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
413	Q9NZ01	hsa:9524
415	Q9GZR5	hsa:6785
417	Q53GQ0	hsa:51144
419	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
421	Q9NZ01	hsa:9524
423	Q9GZR5	hsa:6785
425	Q53GQ0	hsa:51144
427	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
429	Q9NZ01	hsa:9524
431	Q9GZR5	hsa:6785
433	Q53GQ0	hsa:51144
435	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
437	Q9NZ01	hsa:9524
439	Q9GZR5	hsa:6785
441	Q53GQ0	hsa:51144
443	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
445	Q9NZ01	hsa:9524
447	Q4G176	hsa:197322
